threads, spread, 4.028423, 2000000000
cores, spread, 4.027661, 2000000000
threads, explicit, 4.037523, 2000000000
cores, false, 4.028130, 2000000000
cores, true, 4.036805, 2000000000
cores, explicit, 4.036742, 2000000000
cores, close, 4.038170, 2000000000
sockets, spread, 4.031028, 2000000000
sockets, close, 4.030063, 2000000000
sockets, master, 4.028744, 2000000000
numa, false, 4.027918, 2000000000
sockets, explicit, 4.030615, 2000000000
numa, spread, 4.028150, 2000000000
numa, true, 4.038491, 2000000000
threads, false, 4.028362, 2000000000
threads, spread, 4.027695, 2000000000
threads, true, 4.037230, 2000000000
threads, close, 4.035290, 2000000000
cores, true, 4.036850, 2000000000
cores, spread, 4.028152, 2000000000
cores, close, 4.035891, 2000000000
sockets, close, 4.031192, 2000000000
sockets, master, 4.028299, 2000000000
sockets, true, 4.029822, 2000000000
sockets, explicit, 4.030595, 2000000000
threads, master, 16.116360, 2000000000
cores, master, 16.114193, 2000000000
numa, false, 4.028722, 2000000000
numa, true, 4.039079, 2000000000
numa, spread, 4.029653, 2000000000
numa, explicit, 4.028883, 2000000000
numa, close, 4.088634, 2000000000
threads, false, 4.027891, 2000000000
threads, true, 4.038817, 2000000000
numa, master, 16.115842, 2000000000
threads, spread, 4.029636, 2000000000
cores, false, 4.028152, 2000000000
cores, true, 4.041030, 2000000000
cores, spread, 4.029183, 2000000000
sockets, false, 4.115989, 2000000000
sockets, spread, 4.035955, 2000000000
numa, false, 4.027932, 2000000000
numa, true, 4.039677, 2000000000
sockets, explicit, 4.027773, 2000000000
cores, master, 16.108735, 2000000000
numa, explicit, 4.028732, 2000000000
threads, false, 4.028028, 2000000000
threads, true, 4.036654, 2000000000
threads, close, 4.041882, 2000000000
threads, spread, 4.028573, 2000000000
cores, false, 4.037017, 2000000000
cores, spread, 4.028084, 2000000000
cores, true, 4.036316, 2000000000
sockets, true, 4.030155, 2000000000
sockets, spread, 4.030720, 2000000000
sockets, close, 4.030775, 2000000000
sockets, master, 4.027931, 2000000000
numa, master, 16.112150, 2000000000
sockets, explicit, 4.030350, 2000000000
numa, true, 4.037181, 2000000000
numa, close, 4.036599, 2000000000
threads, false, 4.028939, 2000000000
threads, close, 4.038641, 2000000000
cores, false, 4.028376, 2000000000
cores, master, 16.114454, 2000000000
cores, explicit, 4.041888, 2000000000
cores, spread, 4.028720, 2000000000
sockets, false, 4.028145, 2000000000
sockets, spread, 4.029357, 2000000000
sockets, true, 4.031016, 2000000000
sockets, close, 4.030501, 2000000000
sockets, master, 4.027423, 2000000000
numa, false, 4.028351, 2000000000
numa, spread, 4.028284, 2000000000
numa, close, 4.036863, 2000000000
numa, explicit, 4.029310, 2000000000
threads, false, 4.028274, 2000000000
threads, spread, 4.028029, 2000000000
threads, true, 4.037542, 2000000000
threads, close, 4.036601, 2000000000
cores, false, 4.028387, 2000000000
cores, true, 4.034141, 2000000000
numa, master, 16.138079, 2000000000
cores, spread, 4.027020, 2000000000
cores, close, 4.039007, 2000000000
cores, explicit, 4.037360, 2000000000
threads, master, 16.113756, 2000000000
sockets, false, 4.029803, 2000000000
sockets, close, 4.030593, 2000000000
sockets, master, 4.045972, 2000000000
sockets, explicit, 4.030228, 2000000000
numa, true, 4.032846, 2000000000
numa, close, 4.062473, 2000000000
numa, explicit, 4.028144, 2000000000
threads, true, 4.040675, 2000000000
threads, spread, 4.027686, 2000000000
threads, close, 4.039293, 2000000000
threads, explicit, 4.042761, 2000000000
cores, true, 4.038301, 2000000000
numa, master, 16.117246, 2000000000
cores, spread, 4.028157, 2000000000
cores, close, 4.036466, 2000000000
threads, master, 16.115599, 2000000000
cores, explicit, 4.041266, 2000000000
sockets, true, 4.031784, 2000000000
sockets, explicit, 4.031332, 2000000000
numa, true, 4.039813, 2000000000
numa, explicit, 4.028954, 2000000000
threads, false, 4.029331, 2000000000
threads, true, 4.039159, 2000000000
threads, spread, 4.027898, 2000000000
threads, close, 4.039401, 2000000000
threads, explicit, 4.041261, 2000000000
cores, false, 4.027890, 2000000000
numa, master, 16.116741, 2000000000
cores, true, 4.035681, 2000000000
