serial; 1; 18.737506
serial; 1; 18.570866
serial; 1; 18.412052
serial; 1; 18.391729
serial; 1; 18.432124
serial; 1; 18.587306
serial; 1; 18.462287
serial; 1; 18.574871
serial; 1; 18.460021
serial; 1; 18.512002
serial; 1; 18.447960
serial; 1; 18.517932
parallel; 1; 230.680981
parallel; 1; 232.365907
parallel; 8; 232.423570
parallel; 8; 230.761058
parallel; 1; 230.106666
parallel; 8; 231.227901
parallel; 1; 231.954756
parallel; 8; 233.343768
parallel; 1; 230.317177
parallel; 8; 232.174250
parallel; 1; 230.982659
parallel; 1; 231.590797
parallel; 8; 233.718609
parallel; 8; 230.924409
parallel; 1; 231.707004
parallel; 8; 232.089924
parallel; 1; 232.412891
parallel; 8; 230.620827
parallel; 1; 230.133782
parallel; 8; 232.601608
parallel; 1; 231.724400
parallel; 8; 231.309398
parallel; 1; 232.028497
parallel; 8; 231.416401
parallel; 1; 230.967520
parallel; 8; 231.143584
parallel; 1; 232.130073
parallel; 8; 232.550086
parallel; 1; 233.555532
parallel; 8; 231.886571
parallel; 1; 231.777630
parallel; 8; 232.404309
serial; 1; 18.424901
serial; 1; 18.414001
serial; 1; 18.538641
serial; 1; 18.442275
serial; 1; 18.671488
serial; 1; 18.460118
parallel; 1; 231.703182
serial; 1; 18.524561
serial; 1; 18.467849
serial; 1; 18.446217
serial; 1; 18.380844
parallel; 8; 231.801886
parallel; 1; 231.052072
parallel; 1; 236.633307
parallel; 8; 232.301789
parallel; 8; 230.119129
parallel; 1; 232.209429
parallel; 8; 231.792919
