Version;NumThreads;Result;executionTime;
1;8;54432997389644;2.2257;
1;4;54432997389644;3.7069;
1;2;54432997389644;6.9505;
1;1;54432997389644;13.2740;
1;8;54432997389644;2.2141;
1;8;54432997389644;2.2169;
1;8;54432997389644;2.2197;
1;4;54432997389644;3.6156;
1;4;54432997389644;3.6244;
1;4;54432997389644;3.6382;
1;2;54432997389644;6.7415;
1;4;54432997389644;3.6468;
1;8;54432997389644;2.2166;
1;8;54432997389644;2.2187;
1;2;54432997389644;6.7318;
1;2;54432997389644;6.7427;
1;2;54432997389644;6.7672;
1;8;54432997389644;2.2204;
1;4;54432997389644;3.6179;
1;4;54432997389644;3.6409;
1;8;54432997389644;2.2297;
1;2;54432997389644;6.7480;
1;1;54432997389644;13.4191;
1;2;54432997389644;6.7587;
1;4;54432997389644;3.6061;
1;8;54432997389644;2.2300;
1;4;54432997389644;3.6444;
1;1;54432997389644;13.2354;
1;1;54432997389644;13.2407;
1;1;54432997389644;13.2377;
1;8;54432997389644;2.2258;
1;2;54432997389644;6.7444;
1;2;54432997389644;6.7403;
1;4;54432997389644;3.8895;
1;1;54432997389644;13.2310;
1;1;54432997389644;13.3241;
1;2;54432997389644;6.8055;
1;1;54432997389644;13.2236;
1;1;54432997389644;13.2296;
1;1;54432997389644;13.2297;
0;1;35309705;14.1898;
0;1;35309705;15.9269;
0;2;589394889;21.2524;
0;1;35309705;20.3701;
0;4;2931624454;21.3144;
0;2;3379753039;21.3477;
0;4;4111533278;21.5370;
0;4;2800353493;19.5725;
0;8;571105044;23.6326;
0;2;1120464992;21.1837;
0;8;53144742;23.0575;
0;1;35309705;20.3648;
0;8;149663267;22.5202;
0;4;338908897;18.4578;
0;2;523073455;21.3258;
0;1;35309705;13.6053;
0;8;2649818996;22.2360;
0;2;3685918884;14.1925;
0;2;4009945281;19.9053;
0;4;511473584;17.6823;
0;4;3368622098;21.4196;
0;2;1472715613;17.6090;
0;1;35309705;20.4020;
0;8;4080397975;21.7790;
0;1;35309705;20.4092;
0;8;3165190550;23.1249;
0;4;606420914;22.1702;
0;1;35309705;20.4563;
0;2;1489601416;20.4528;
0;8;2647080699;22.6559;
0;4;4148848222;22.0713;
0;1;35309705;20.5701;
0;2;2170584711;16.8577;
0;4;2468663572;15.0495;
0;8;2984497069;23.2163;
0;1;35309705;20.4630;
0;1;35309705;15.8780;
0;4;3782398664;21.6623;
0;2;4074623657;20.9247;
0;8;3086885980;21.8938;
0;8;3300875454;24.7636;
0;2;97244191;21.0650;
0;8;1932661148;21.1069;
0;4;2184398461;21.8241;
