CPU Time;User Time;
24.040000;24.046011;
24.050000;24.054761;
24.040000;24.046077;
24.050000;24.049629;
24.040000;24.049007;
24.040000;24.047346;
24.050000;24.057183;
24.040000;24.045872;
24.050000;24.050686;
24.040000;24.046067;
24.040000;24.042810;
24.040000;24.046275;
24.040000;24.045652;
24.050000;24.055917;
