0;1;3;3;0.000002
0;1;4;4;0.000003
0;1;5;5;0.000004
0;1;7;7;0.000025
0;1;9;9;0.000385
1;1;3;3;0.000004
0;1;11;11;0.009557
1;1;9;9;0.000004
1;1;5;5;0.000004
1;1;11;11;0.000004
1;1;4;4;0.000004
1;1;7;7;0.000004
0;1;13;13;0.239591
1;1;15;15;0.000004
2;1;3;3;0.000021
2;1;11;11;0.000021
2;1;4;4;0.000021
2;1;7;7;0.000030
2;1;9;9;0.000026
2;1;15;15;0.000021
0;8;3;3;0.000002
0;8;4;4;0.000003
2;1;5;5;0.000021
0;8;5;5;0.000004
0;8;7;7;0.000021
1;8;3;3;0.000004
0;8;9;9;0.000384
0;8;11;11;0.009537
1;8;5;5;0.000004
1;8;7;7;0.000004
1;8;9;9;0.000004
1;8;11;11;0.000005
0;8;13;13;0.239737
1;8;13;13;0.000005
0;1;15;15;6.643182
1;8;15;15;0.000005
2;8;3;3;0.000618
2;8;4;4;0.002539
2;8;11;11;0.000837
2;8;13;13;0.000331
2;8;15;15;0.003067
2;8;9;9;0.003066
2;8;7;7;0.004462
0;8;15;15;6.638545
0;1;3;3;0.000002
0;1;4;4;0.000002
0;1;5;5;0.000003
0;1;7;7;0.000038
0;1;9;9;0.000375
0;1;11;11;0.008938
1;1;9;9;0.000004
1;1;3;3;0.000004
1;1;4;4;0.000004
1;1;11;11;0.000004
1;1;7;7;0.000004
2;1;3;3;0.000049
1;1;5;5;0.000004
0;1;13;13;0.232296
2;1;5;5;0.000047
2;1;7;7;0.000036
2;1;9;9;0.000035
2;1;11;11;0.000040
0;8;3;3;0.000002
0;8;5;5;0.000003
0;8;9;9;0.000387
0;8;7;7;0.000019
0;8;4;4;0.000003
2;1;15;15;0.000042
0;8;11;11;0.009334
0;8;13;13;0.231810
1;8;3;3;0.000004
1;8;4;4;0.000004
1;8;7;7;0.000004
1;8;5;5;0.000004
1;8;11;11;0.000004
1;8;9;9;0.000004
1;8;13;13;0.000004
1;8;15;15;0.000004
2;8;4;4;0.002576
0;1;15;15;6.302492
2;8;5;5;0.001206
2;8;7;7;0.002604
2;8;13;13;0.002648
2;8;11;11;0.004240
2;8;15;15;0.005235
0;8;15;15;6.301717
0;1;4;4;0.000003
0;1;3;3;0.000002
0;1;5;5;0.000003
0;1;7;7;0.000019
0;1;9;9;0.000384
1;1;4;4;0.000004
1;1;11;11;0.000004
1;1;7;7;0.000004
1;1;13;13;0.000004
1;1;5;5;0.000012
0;1;11;11;0.009139
0;1;13;13;0.231700
1;1;15;15;0.000004
2;1;4;4;0.000040
2;1;5;5;0.000040
