1-original, 1, 0.098018
1-original, 4, 0.097191
1-original, 16, 0.097273
1-original, 32, 0.097328
1-original, 8, 0.097605
1-modified, 8, 0.047701
1-modified, 16, 0.045906
1-modified, 32, 0.051904
1-modified, 2, 0.065579
2-original, 1, 0.192455
1-modified, 1, 0.103997
2-original, 2, 0.192539
2-original, 4, 0.192368
2-original, 16, 0.191994
2-original, 32, 0.192070
2-modified, 2, 0.106550
2-modified, 1, 0.166860
2-modified, 4, 0.081541
2-modified, 8, 0.088893
2-modified, 16, 0.089490
2-modified, 32, 0.092541
3-original, 2, 0.061906
3-original, 1, 0.061553
3-original, 4, 0.061239
3-original, 8, 0.061836
3-original, 16, 0.061358
3-original, 32, 0.061684
3-modified, 1, 0.087830
3-modified, 2, 0.057219
3-modified, 16, 0.046416
3-modified, 32, 0.048706
1-original, 4, 0.097654
1-original, 16, 0.097906
1-original, 8, 0.098186
1-original, 1, 0.097155
1-original, 2, 0.098010
1-original, 32, 0.097772
1-modified, 1, 0.104230
1-modified, 4, 0.046384
1-modified, 16, 0.047965
1-modified, 8, 0.047839
1-modified, 32, 0.048391
1-modified, 2, 0.065521
2-original, 8, 0.192705
2-original, 16, 0.192562
2-original, 32, 0.192424
2-modified, 2, 0.106234
2-modified, 4, 0.081230
2-modified, 16, 0.091193
2-modified, 32, 0.092247
3-original, 4, 0.061455
3-original, 2, 0.061154
3-original, 8, 0.061039
3-original, 32, 0.061116
3-modified, 1, 0.086906
3-modified, 4, 0.043035
3-modified, 2, 0.057687
3-modified, 8, 0.046187
3-modified, 16, 0.050333
3-modified, 32, 0.051164
1-original, 1, 0.097565
1-original, 2, 0.097735
1-original, 8, 0.096974
1-original, 16, 0.097626
1-modified, 1, 0.104111

1-modified, 4, 0.046309
1-modified, 8, 0.047652
1-modified, 2, 0.066620
1-modified, 32, 0.048434
1-modified, 16, 0.047798
2-original, 32, 0.192498
2-original, 16, 0.192413
2-modified, 4, 0.080862
2-modified, 2, 0.106325
2-modified, 1, 0.166102
2-modified, 8, 0.087565
2-modified, 16, 0.089975
2-modified, 32, 0.097819
3-original, 2, 0.061759
3-original, 1, 0.061189
3-original, 4, 0.061209
3-original, 8, 0.061266
3-original, 16, 0.061116
3-original, 32, 0.060521
3-modified, 1, 0.087532
3-modified, 2, 0.057150
3-modified, 4, 0.043362
3-modified, 8, 0.047554
3-modified, 16, 0.047089
3-modified, 32, 0.050203
1-original, 2, 0.097779
1-original, 1, 0.097424
1-original, 4, 0.097821
1-original, 8, 0.097624
1-original, 32, 0.097748
1-original, 16, 0.098118
1-modified, 4, 0.046249
1-modified, 2, 0.066010
1-modified, 8, 0.047477
1-modified, 32, 0.047245
2-original, 1, 0.192558
2-original, 4, 0.192601
2-original, 2, 0.192176
2-original, 16, 0.192554
2-original, 32, 0.192535
2-modified, 2, 0.106891
2-modified, 1, 0.165889
2-modified, 4, 0.081192
2-modified, 8, 0.088075
2-modified, 16, 0.088532
2-modified, 32, 0.092152
3-original, 1, 0.062303
3-original, 8, 0.061969
3-original, 16, 0.060582
