Parallel, 8, 5.551038
Parallel, 8, 8.524153
Parallel, 8, 10.559362
Parallel, 8, 7.712301
Parallel, 8, 5.971464
Parallel, 8, 6.463457
Parallel, 8, 6.456671
Parallel, 8, 7.522722
Parallel, 8, 6.182216
Parallel, 8, 8.013751
Parallel, 8, 7.010292
Parallel, 8, 6.330370
Parallel, 8, 6.431565
Parallel, 8, 6.768831
Parallel, 8, 3.424990
Parallel, 8, 7.721582
Parallel, 8, 7.809179
Parallel, 8, 8.223229
Parallel, 8, 10.631418
Parallel, 8, 9.849317
Parallel, 8, 9.087220
Parallel, 8, 7.824907
Parallel, 8, 8.505563
Parallel, 8, 9.653077
Parallel, 8, 11.353387
Parallel, 8, 6.079600
Parallel, 8, 9.295854
Parallel, 8, 8.953396
Parallel, 4, 6.431876
Parallel, 4, 6.037061
Parallel, 4, 6.361114
Parallel, 4, 6.128916
Parallel, 4, 6.193980
Parallel, 8, 6.981420
Parallel, 8, 7.020638
Parallel, 1, 7.417645
Parallel, 2, 8.245083
