Variant, Problem Size, Time in s, Correct solution
Ex01 V, 2048, 1.723382, 1
Ex01 V, 16384, 18.277300, 1
Ex01 nV, 4096, 4.471376, 1
Ex01 nV, 128, 0.107299, 1
Ex01 nV, 256, 0.214010, 1
Ex01 nV, 512, 0.435583, 1
Ex01 nV, 1024, 0.864616, 1
Ex01 V, 4096, 5.695318, 1
Ex01 nV, 2048, 1.723293, 1
Ex01 V, 128, 0.162619, 1
Ex01 V, 256, 0.316944, 1
Ex01 V, 512, 0.625862, 1
Ex01 V, 1024, 1.243698, 1
Ex01 nV, 8192, 9.110401, 1
Ex01 V, 2048, 2.479968, 1
Ex01 nV, 4096, 4.505930, 1
Ex01 V, 16384, 18.247943, 1
Ex01 V, 4096, 4.471035, 1
Ex01 V, 8192, 11.193701, 1
Ex01 nV, 1024, 1.243815, 1
Ex01 V, 128, 0.107255, 1
Ex01 nV, 16384, 22.710046, 1
Ex01 V, 512, 0.435594, 1
Ex01 nV, 2048, 2.480455, 1
Ex01 V, 1024, 0.864588, 1
Ex01 nV, 8192, 9.165792, 1
Ex01 V, 2048, 1.723575, 1
Ex01 V, 8192, 9.108590, 1
Ex01 nV, 4096, 5.648998, 1
Ex01 nV, 16384, 18.251471, 1
Ex01 nV, 128, 0.107262, 1
Ex01 nV, 256, 0.214046, 1
Ex01 nV, 512, 0.435584, 1
Ex01 V, 4096, 4.474552, 1
Ex01 nV, 1024, 0.864352, 1
Ex01 V, 128, 0.107292, 1
Ex01 nV, 2048, 1.723177, 1
Ex01 V, 512, 0.435633, 1
Ex01 V, 256, 0.214063, 1
Ex01 nV, 8192, 9.115615, 1
Ex01 V, 1024, 0.864617, 1
Ex01 V, 2048, 1.723539, 1
Ex01 nV, 4096, 4.475488, 1
Ex01 V, 8192, 9.148697, 1
Ex01 V, 4096, 4.506500, 1
Ex01 nV, 128, 0.162621, 1
Ex01 nV, 8192, 9.114946, 1
Ex01 nV, 256, 0.316978, 1
Ex01 nV, 1024, 0.864524, 1
Ex01 V, 256, 0.214247, 1
Ex01 V, 128, 0.107180, 1
Ex01 V, 512, 0.435610, 1
Ex01 nV, 2048, 1.723337, 1
Ex01 V, 1024, 0.864319, 1
Ex01 nV, 16384, 18.246739, 1
Ex01 V, 2048, 1.723651, 1
Ex01 V, 16384, 18.216668, 1
Ex01 nV, 4096, 4.474838, 1
Ex01 V, 8192, 11.591495, 1
Ex01 V, 4096, 4.474524, 1
Ex01 nV, 128, 0.107271, 1
Ex01 nV, 256, 0.214139, 1
Ex01 nV, 512, 0.435635, 1
Ex01 nV, 1024, 0.864365, 1
Ex01 nV, 2048, 1.723778, 1
Ex01 V, 128, 0.107298, 1
Ex01 V, 256, 0.214265, 1
Ex01 nV, 16384, 18.225551, 1
Ex01 V, 512, 0.435654, 1
Ex01 V, 1024, 0.864478, 1
Ex01 V, 2048, 1.723383, 1
Ex01 V, 8192, 9.145728, 1
Ex01 nV, 4096, 4.487151, 1
Ex01 V, 4096, 4.470971, 1
Ex01 V, 16384, 22.498067, 1
Ex01 nV, 128, 0.107230, 1
Ex01 nV, 256, 0.214049, 1
Ex01 nV, 8192, 9.122319, 1
Ex01 nV, 512, 0.435619, 1
Ex01 nV, 1024, 0.864473, 1
Ex01 nV, 16384, 18.298485, 1
Ex01 V, 8192, 9.115868, 1
Ex01 nV, 2048, 1.723712, 1
Ex01 V, 128, 0.107272, 1
Ex01 V, 256, 0.214064, 1
Ex01 V, 1024, 0.864316, 1
Ex01 V, 512, 0.435499, 1
Ex01 V, 16384, 18.244777, 1
Ex01 V, 2048, 1.723804, 1
Ex01 nV, 4096, 4.471298, 1
Ex01 V, 4096, 4.471976, 1
Ex01 nV, 128, 0.107388, 1
Ex01 nV, 256, 0.213990, 1
Ex01 nV, 16384, 18.333955, 1
Ex01 nV, 512, 0.435634, 1
Ex01 nV, 8192, 9.118191, 1
Ex01 V, 128, 0.107393, 1
Ex01 V, 256, 0.214180, 1
Ex01 nV, 1024, 0.864233, 1
Ex01 V, 512, 0.435676, 1
Ex01 nV, 2048, 1.726819, 1
Ex01 V, 1024, 0.864364, 1
Ex01 V, 16384, 18.283480, 1
Ex01 V, 8192, 9.154453, 1
Ex01 V, 2048, 1.723578, 1
Ex01 nV, 4096, 4.507093, 1
Ex01 nV, 128, 0.107336, 1
Ex01 nV, 256, 0.214071, 1
Ex01 V, 4096, 4.475078, 1
Ex01 nV, 512, 0.435666, 1
Ex01 nV, 1024, 0.864367, 1
Ex01 nV, 2048, 1.723526, 1
Ex01 V, 128, 0.107345, 1
Ex01 V, 256, 0.214067, 1
Ex01 V, 512, 0.435649, 1
Ex01 nV, 8192, 9.189205, 1
Ex01 V, 1024, 0.864386, 1
Ex01 nV, 16384, 18.225257, 1
Ex01 V, 2048, 1.723439, 1
Ex01 nV, 4096, 4.479048, 1
Ex01 V, 8192, 9.152145, 1
Ex01 V, 16384, 18.265765, 1
Ex01 V, 4096, 4.479690, 1
Ex01 nV, 128, 0.107194, 1
Ex01 nV, 256, 0.214047, 1
Ex01 nV, 512, 0.435712, 1
Ex01 nV, 1024, 0.864524, 1
Ex01 V, 128, 0.107281, 1
Ex01 nV, 8192, 9.142703, 1
Ex01 V, 256, 0.214196, 1
Ex01 V, 512, 0.435755, 1
Ex01 nV, 2048, 1.723740, 1
Ex01 V, 1024, 0.864409, 1
Ex01 nV, 16384, 18.254349, 1
Ex01 V, 8192, 9.116614, 1
Ex01 V, 2048, 1.723821, 1
Ex01 nV, 4096, 4.472857, 1
Ex01 V, 16384, 18.276637, 1
Ex01 V, 4096, 4.543226, 1
Ex01 nV, 256, 0.214104, 1
Ex01 nV, 128, 0.107312, 1
Ex01 nV, 512, 0.435665, 1
Ex01 nV, 1024, 0.864400, 1
Ex01 V, 128, 0.107310, 1
Ex01 nV, 8192, 9.150262, 1
Ex01 V, 256, 0.214041, 1
Ex01 V, 512, 0.435819, 1
Ex01 nV, 16384, 18.237511, 1
Ex01 nV, 2048, 1.723883, 1
Ex01 V, 1024, 0.864800, 1
Ex01 V, 8192, 9.129315, 1
Ex01 V, 2048, 1.723421, 1
Ex01 V, 16384, 18.212896, 1
Ex01 nV, 4096, 4.471949, 1
Ex01 V, 4096, 4.471601, 1
Ex01 nV, 8192, 9.163818, 1
Ex01 nV, 16384, 18.273499, 1
Ex01 V, 8192, 9.110632, 1
Ex01 V, 16384, 18.211059, 1
Ex01 nV, 16384, 18.279374, 1
Ex01 V, 16384, 18.216641, 1
Ex02, 128, 0.108238, 1
Ex02, 256, 0.215206, 1
Ex02, 1024, 0.864826, 1
Ex02, 2048, 1.723347, 1
Ex02, 4096, 4.475127, 1
Ex02, 8192, 9.117731, 1
Ex02, 16384, 18.304405, 1
Ex02, 128, 0.108312, 1
Ex02, 256, 0.215195, 1
Ex02, 512, 0.435524, 1
Ex02, 256, 0.215262, 1
Ex02, 512, 0.435544, 1
Ex02, 1024, 0.864764, 1
Ex02, 2048, 1.723567, 1
Ex02, 8192, 9.145640, 1
Ex02, 4096, 4.509857, 1
Ex02, 128, 0.108234, 1
Ex02, 256, 0.215242, 1
Ex02, 8192, 9.126372, 1
Ex02, 512, 0.435590, 1
Ex02, 1024, 0.864681, 1
Ex02, 2048, 1.723482, 1
Ex02, 16384, 18.249611, 1
Ex02, 4096, 4.476520, 1
Ex02, 128, 0.108258, 1
Ex02, 256, 0.215205, 1
Ex02, 512, 0.435506, 1
Ex02, 1024, 0.864669, 1
Ex02, 8192, 9.183280, 1
Ex02, 2048, 1.723330, 1
Ex02, 16384, 18.279777, 1
