128, 0.028364, 1
256, 0.050168, 1
512, 0.090426, 1
1024, 0.176578, 1
2048, 0.358747, 1
4096, 0.713185, 1
8192, 1.397093, 1
16384, 2.851450, 1
128, 0.029091, 1
256, 0.047774, 1
512, 0.090504, 1
1024, 0.178833, 1
2048, 0.354942, 1
4096, 0.710249, 1
8192, 1.395106, 1
16384, 2.803994, 1
128, 0.028585, 1
256, 0.047728, 1
512, 0.094654, 1
1024, 0.176749, 1
2048, 0.350304, 1
4096, 0.698694, 1
8192, 1.389839, 1
16384, 2.826413, 1
128, 0.028652, 1
256, 0.047634, 1
512, 0.090856, 1
1024, 0.178770, 1
2048, 0.353574, 1
4096, 0.695854, 1
8192, 1.397488, 1
16384, 2.842508, 1
128, 0.028980, 1
256, 0.047807, 1
512, 0.091583, 1
1024, 0.176715, 1
2048, 0.350406, 1
4096, 0.698798, 1
8192, 1.410797, 1
16384, 2.792831, 1
128, 0.031511, 1
256, 0.047660, 1
512, 0.090884, 1
1024, 0.177204, 1
2048, 0.351459, 1
4096, 0.704100, 1
8192, 1.393169, 1
16384, 2.804875, 1
128, 0.028343, 1
256, 0.047629, 1
512, 0.090864, 1
1024, 0.176777, 1
2048, 0.354160, 1
4096, 0.723458, 1
8192, 1.419936, 1
16384, 2.830760, 1
128, 0.028260, 1
256, 0.047717, 1
512, 0.090883, 1
1024, 0.178140, 1
2048, 0.349394, 1
4096, 0.695982, 1
8192, 1.397061, 1
16384, 2.783508, 1
128, 0.028781, 1
256, 0.047261, 1
512, 0.090619, 1
1024, 0.176704, 1
2048, 0.350384, 1
4096, 0.714675, 1
8192, 1.403158, 1
16384, 2.789243, 1
128, 0.028130, 1
256, 0.047868, 1
512, 0.091292, 1
1024, 0.181214, 1
2048, 0.354640, 1
4096, 0.704801, 1
8192, 1.395694, 1
16384, 2.812502, 1
128, 0.029192, 1
256, 0.047292, 1
512, 0.092235, 1
1024, 0.198196, 1
2048, 0.350525, 1
4096, 0.705704, 1
8192, 1.400454, 1
16384, 2.803820, 1
128, 0.028504, 1
256, 0.047741, 1
512, 0.090757, 1
1024, 0.177926, 1
2048, 0.350912, 1
4096, 0.710217, 1
8192, 1.395485, 1
16384, 2.802561, 1
128, 0.027756, 1
256, 0.047518, 1
512, 0.090689, 1
1024, 0.177182, 1
2048, 0.350785, 1
4096, 0.697469, 1
8192, 1.423905, 1
16384, 2.795265, 1
128, 0.028143, 1
256, 0.051253, 1
512, 0.090617, 1
1024, 0.176945, 1
2048, 0.350046, 1
4096, 0.696830, 1
8192, 1.399953, 1
16384, 2.814187, 1
128, 0.028586, 1
256, 0.047708, 1
512, 0.090688, 1
1024, 0.176588, 1
2048, 0.360755, 1
4096, 0.696160, 1
8192, 1.392346, 1
16384, 2.802156, 1
128, 0.027752, 1
256, 0.047552, 1
512, 0.090701, 1
1024, 0.176983, 1
2048, 0.349994, 1
4096, 0.697411, 1
8192, 1.391062, 1
16384, 2.793765, 1
128, 0.028482, 1
256, 0.047544, 1
512, 0.091086, 1
1024, 0.176976, 1
2048, 0.350462, 1
4096, 0.718729, 1
8192, 1.398150, 1
16384, 2.781691, 1
128, 0.031557, 1
256, 0.047820, 1
512, 0.090645, 1
1024, 0.177108, 1
2048, 0.350136, 1
4096, 0.701810, 1
8192, 1.409938, 1
16384, 2.811302, 1
128, 0.027514, 1
256, 0.047585, 1
512, 0.090838, 1
1024, 0.180080, 1
2048, 0.355090, 1
4096, 0.709759, 1
8192, 1.396939, 1
16384, 2.783543, 1
128, 0.027350, 1
256, 0.047434, 1
512, 0.090758, 1
1024, 0.177036, 1
2048, 0.350303, 1
4096, 0.703380, 1
8192, 1.387768, 1
16384, 2.782715, 1
128, 0.028556, 1
256, 0.047378, 1
512, 0.091171, 1
1024, 0.177008, 1
2048, 0.349166, 1
4096, 0.701242, 1
8192, 1.405550, 1
16384, 2.777299, 1
