Variant, Problem Size, Time in s, Correct solution
Ex01 V, 512, 0.073585, 1
Ex01 V, 1024, 0.142398, 1
Ex01 V, 2048, 0.287210, 1
Ex01 V, 4096, 0.581848, 1
Ex01 V, 8192, 1.142904, 1
Ex01 V, 16384, 2.270974, 1
Ex01 V, 128, 0.023790, 1
Ex01 V, 256, 0.040332, 1
Ex01 V, 512, 0.074883, 1
Ex01 V, 1024, 0.142548, 1
Ex01 V, 2048, 0.282203, 1
Ex01 V, 4096, 0.574484, 1
Ex01 V, 8192, 1.142491, 1
Ex01 V, 16384, 2.269602, 1
Ex01 V, 128, 0.022964, 1
Ex01 V, 256, 0.039713, 1
Ex01 V, 512, 0.074899, 1
Ex01 V, 1024, 0.143513, 1
Ex01 V, 2048, 0.283784, 1
Ex01 V, 4096, 0.578944, 1
Ex01 V, 8192, 1.157030, 1
Ex01 V, 16384, 2.312324, 1
Ex01 V, 128, 0.024174, 1
Ex01 V, 256, 0.039055, 1
Ex01 V, 512, 0.073485, 1
Ex01 V, 1024, 0.143997, 1
Ex01 V, 2048, 0.282434, 1
Ex01 V, 4096, 0.564750, 1
Ex01 V, 8192, 1.152798, 1
Ex01 V, 16384, 2.299238, 1
Ex01 V, 128, 0.024504, 1
Ex01 V, 256, 0.039115, 1
Ex01 V, 512, 0.073850, 1
Ex01 V, 1024, 0.143168, 1
Ex01 V, 2048, 0.282095, 1
Ex01 V, 4096, 0.567363, 1
Ex01 V, 8192, 1.154005, 1
Ex01 V, 16384, 2.292331, 1
Ex01 V, 128, 0.024450, 1
Ex01 V, 256, 0.039671, 1
Ex01 V, 512, 0.074912, 1
Ex01 V, 1024, 0.143472, 1
Ex01 V, 2048, 0.287532, 1
Ex01 V, 4096, 0.567313, 1
Ex01 V, 8192, 1.139052, 1
Ex01 V, 16384, 2.284285, 1
Ex01 V, 128, 0.023427, 1
Ex01 V, 256, 0.040173, 1
Ex01 V, 512, 0.074361, 1
Ex01 V, 1024, 0.141938, 1
Ex01 V, 2048, 0.283404, 1
Ex01 V, 4096, 0.593159, 1
Ex01 V, 8192, 1.143919, 1
Ex01 V, 16384, 2.307312, 1
Ex01 V, 128, 0.024255, 1
Ex01 V, 256, 0.038988, 1
Ex01 V, 512, 0.074908, 1
Ex01 V, 1024, 0.148996, 1
