| NUM_THREDS | VARIANT | Value_Pi | OMP Time | User Time | CPU Time |
| 4.0 | 2.0 | 3.141578 | 7.985764 | 7.985763 | 7.98 |
| 4.0 | 2.0 | 3.141578 | 7.997335 | 7.997336 | 7.99 |
| 4.0 | 2.0 | 3.141578 | 8.015446 | 8.015446 | 8.01 |
| 4.0 | 2.0 | 3.141578 | 8.007833 | 8.007833 | 8.0 |
| 4.0 | 2.0 | 3.141578 | 8.012737 | 8.012736 | 8.01 |
| 4.0 | 2.0 | 3.141578 | 7.989697 | 7.989697 | 7.98 |
| 4.0 | 2.0 | 3.141578 | 7.990561 | 7.990561 | 7.99 |
| 4.0 | 2.0 | 3.141578 | 8.05508 | 8.055081 | 8.05 |
| 4.0 | 2.0 | 3.141578 | 7.98952 | 7.98952 | 7.99 |
--------------------------------
| 8.0 | 0.0 | 3.141578 | 515.877349 | 515.877349 | 4032.35 |
| 8.0 | 0.0 | 3.141578 | 509.300484 | 509.300485 | 3967.34 |
| 8.0 | 0.0 | 3.141578 | 492.784647 | 492.784647 | 3844.27 |
| 8.0 | 0.0 | 3.141593 | 527.308323 | 527.308323 | 4136.96 |
| 8.0 | 0.0 | 3.141578 | 544.341718 | 544.341718 | 4289.59 |
| 8.0 | 0.0 | 3.141578 | 485.515516 | 485.515516 | 3793.48 |
| 8.0 | 0.0 | 3.141578 | 519.880034 | 519.880034 | 4087.92 |
| 8.0 | 0.0 | 3.141578 | 524.663792 | 524.663793 | 4108.53 |
| 8.0 | 0.0 | 3.141578 | 500.458814 | 500.458814 | 3900.02 |
| 8.0 | 1.0 | 3.140212 | 1097.275441 | 1097.275441 | 8741.03 |
| 8.0 | 1.0 | 3.139384 | 1125.542268 | 1125.542268 | 8971.38 |
| 8.0 | 1.0 | 3.140083 | 1117.995659 | 1117.995659 | 8912.42 |
| 8.0 | 1.0 | 3.139844 | 1104.498934 | 1104.498934 | 8805.26 |
| 8.0 | 1.0 | 3.141261 | 1100.755933 | 1100.755933 | 8773.01 |
| 8.0 | 1.0 | 3.140701 | 1113.888464 | 1113.888464 | 8875.57 |
| 8.0 | 1.0 | 3.139989 | 1097.797653 | 1097.797653 | 8754.84 |
| 8.0 | 1.0 | 3.139949 | 1100.71746 | 1100.717461 | 8775.51 |
| 8.0 | 2.0 | 3.141578 | 7.991747 | 7.991747 | 7.99 |
| 8.0 | 2.0 | 3.141578 | 7.993465 | 7.993465 | 7.99 |
| 8.0 | 2.0 | 3.141578 | 7.98457 | 7.98457 | 7.98 |
| 8.0 | 2.0 | 3.141578 | 7.989913 | 7.989914 | 7.99 |
| 8.0 | 2.0 | 3.141578 | 7.997708 | 7.997709 | 7.99 |
| 8.0 | 2.0 | 3.141578 | 7.995101 | 7.995102 | 7.99 |
| 8.0 | 2.0 | 3.141578 | 7.991547 | 7.991547 | 7.99 |
| 8.0 | 2.0 | 3.141578 | 8.000559 | 8.000559 | 8.0 |
| 8.0 | 2.0 | 3.141578 | 8.004932 | 8.004931 | 8.0 |
| 8.0 | 2.0 | 3.141578 | 7.997471 | 7.997471 | 7.99 |
